Index,Name,Name,Date_of_birth,Season_year,Season,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,,Shooting_Percentage,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position,Height,Weight,Body_mass_index,Place_of_birth,Place_of_birth,Age,Experience
2489,Pavel Bure,ప్వేల్ బర్ర్,3/31/1971,1992,'91-'92,VAN,65,34,26,60,0,30,268,,12.7,9,3,1,6,0,0:00,0:00,9,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,178,86,27.1,Moscow,మాస్కో,21,1
2490,Pavel Datsyuk,ప్వేల్ దాత్స్యుక్కుక,7/20/1978,2002,'01-'02,DET,70,11,24,35,4,4,79,,13.9,9,0,0,1,0,13:39,27:17,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,90,27.8,"Sverdlovsk, USSR","స్వెస్లోవెర్లోవ్స్, అస్స్ర్",24,1
2491,Pavel Kolarik,ప్వేల్ కొలరిక్,10/24/1972,2001,'00-'01,BOS,10,0,0,0,-2,4,1,,0,0,0,0,0,0,8:49,0:00,72,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,94,27.5,Vyskov,వైస్కోవ్,29,1
2492,Pavel Kubina,ప్వేల్ కుబిన,4/15/1977,1998,'97-'98,TB,10,1,2,3,-1,22,8,,12.5,0,0,0,0,0,0:00,0:00,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,117,31.4,"Celadna, Czechoslovakia","సెలద్నా, కక్చోస్లోవేవియా",21,1
2493,Pavel Patera,ప్వేల్ పేటర,9/6/1971,2000,'99-'00,DAL,12,1,4,5,-1,4,18,,5.6,0,0,0,0,0,14:04,33:45,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,82,24,Kladno,క్లాడ్నో,29,1
2494,Pavel Rosa,ప్వేల్ రోసా,6/7/1977,1999,'98-'99,LA,29,4,12,16,0,6,61,,6.6,3,0,0,0,0,0:00,0:00,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,180,85,26.2,Most,మాస్ట్,22,1
2495,Pavel Skrbek,ప్వేల్ స్క్ర్‌బెక్,8/9/1978,1999,'98-'99,PIT,4,0,0,0,2,2,1,,0,0,0,0,0,0,0:00,0:00,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,98,27.1,Kladno,క్లాడ్నో,21,1
2496,Pavel Torgajev,ప్వేల్ తొర్గజేవ్,1/25/1966,1996,'95-'96,CGY,41,6,10,16,2,14,50,,12,0,0,0,0,0,0:00,0:00,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,86,25.7,Gorky,గోర్కీ,30,1
2497,Pavel Trnka,ప్వేల్ త్రంకా,7/27/1976,1998,'97-'98,ANA,48,3,4,7,-4,40,46,,6.5,3,0,0,0,1,0:00,0:00,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,93,26.3,Plzen,ప్ల్జెన్,22,1
2498,Pavel Vorobiev,ప్వేల్ వొరోబీవ్,5/5/1982,2004,'03-'04,CHI,18,1,3,4,1,4,20,,5,1,0,0,1,0,12:48,57:36,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,88,26.3,Karaganda,కరగండ,22,1
2499,Pavol Demitra,పావోల్ డిమిట్రా,11/29/1974,1994,'93-'94,OTT,12,1,1,2,-7,4,10,,10,0,0,0,0,0,0:00,0:00,38,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,93,27.8,"Dubnica, Czechoslovakia","దుబ్నిక, కక్చోస్లోవేవియా",20,1
2500,Paxton Schafer,పాక్స్టన్ స్కాఫర్,2/26/1976,1997,'96-'97,BOS,3,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,25:49,NONE,1,0,0,0,0,NONE,6,4.65,25,19,0.76,0,Goaltender,175,74,24.2,"Medicine Hat, Alberta","మెడిసిన్ హాట్, ఆల్బర్టా",21,1
2501,Paxton Schulte,పాక్స్టన్ స్కూల్ట్,7/16/1972,1994,'93-'94,QUE,1,0,0,0,0,2,0,,0,0,0,0,0,0,0:00,0:00,35,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,98,27.7,"Onaway, Alberta","ఓనవే, ఆల్బర్టా",22,1
2502,Pekka Rinne,పెక్క రిన్నే,11/3/1982,2006,'05-'06,NSH,2,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,31:34,NONE,35,1,1,1,NONE,0,4,3.8,40,36,0.9,0,Goaltender,196,93,24.2,"Kempele, Finland","కెంపెల్, ఫైన్లాండ్",24,1
2503,Pelle Eklund,పెల్లె ఏలూండ్,3/22/1963,1986,'85-'86,PHI,70,15,51,66,-4,12,141,,10.6,38,0,0,5,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,77,24.3,Stockholm,స్టాక్‌హోల్మ్,23,1
2504,Per Gustafsson,పీర్ గస్టాఫ్సన్,6/6/1970,1997,'96-'97,FLA,58,7,22,29,11,22,105,,6.7,10,0,0,1,0,0:00,0:00,3,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,88,24.9,Osterham,ఓస్తేరాం,27,1
2505,Per Ledin,పీర్ లేడిన్,9/14/1978,2009,'08-'09,COL,3,0,0,0,-1,2,2,,0,0,0,0,0,NONE,9:56,0:00,97,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,88,26.3,"Lulea, Sweden","లూలియా, స్వీడన్",31,1
2506,Per Svartvadet,పీర్ స్వార్త్వాదేత్,5/17/1975,2000,'99-'00,ATL,38,3,4,7,-8,6,36,,8.3,0,0,0,0,0,13:24,72:43,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,93,26.3,Solleftea,సొలెప్టియా,25,1
2507,Peter Ahola,పీటర్ ఆహోళ,5/14/1968,1992,'91-'92,LA,71,7,12,19,12,101,74,,9.5,1,0,1,0,1,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,93,25.8,Espoo,ఎస్పూ,24,1
2508,Peter Allen,పీటర్ అలెన్,3/6/1970,1996,'95-'96,PIT,8,0,0,0,2,8,2,,0,0,0,0,0,0,0:00,0:00,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,91,25.8,"Calgary, Alberta","కాల్గరీ, ఆల్బర్టా",26,1
2509,Peter Ambroziak,పీటర్ అంబ్రోజియాక్,9/15/1971,1995,'94-'95,BUF,12,0,1,1,-1,0,3,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,93,27.8,"Toronto, Ontario","టోరంటో, ఓంటేరియో",24,1
2510,Peter Andersson,పీటర్ ఆండర్సన్,8/29/1965,1993,'92-'93,NYR,31,4,11,15,4,18,68,,5.9,6,0,0,1,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,85,25.4,Orebro,ఓరెబ్రో,28,1
2511,Peter Bartos,పీటర్ బార్టాస్,9/15/1973,2001,'00-'01,MIN,13,4,2,6,2,6,18,,22.2,1,0,0,1,0,13:50,29:58,45,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,84,25.1,Martin,మార్టిన్,28,1
2512,Peter Bondra,పీటర్ బోండ్ర,2/7/1968,1991,'90-'91,WSH,54,12,16,28,-10,47,95,,12.6,2,0,0,1,0,0:00,0:00,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,91,26.6,"Luck, USSR","లక్, అస్స్ర్",23,1
2513,Peter Budaj,పీటర్ బూడజ్,9/18/1982,2006,'05-'06,COL,34,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,53:01,NONE,31,29,14,10,NONE,6,86,2.86,864,778,0.9,2,Goaltender,185,87,25.4,"Banska Bystrica, Czechoslovakia","బానస్క బిస్ట్రికా, కక్చోస్లోవేవియా",24,1
2514,Peter Douris,పీటర్ డూరిస్,2/19/1966,1986,'85-'86,WPG,11,0,0,0,-1,0,0,,0,0,0,0,0,0,0:00,0:00,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,88,25.7,"Toronto, Ontario","టోరంటో, ఓంటేరియో",20,1
2515,Peter Ferraro,పీటర్ ఫర్రరో,1/24/1973,1996,'95-'96,NYR,5,0,1,1,-4,0,6,,0,1,0,0,0,0,0:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,175,82,26.8,"Port Jefferson, New York","పోర్ట్ జెఫ్ఫర్సన్, న్యూ యార్క్",23,1
2516,Peter Forsberg,పీటర్ ఫోర్స్‌బర్గ్,7/20/1973,1995,'94-'95,COL,47,15,35,50,17,16,86,,17.4,12,0,1,3,0,0:00,0:00,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,93,27.8,"Ornskoldsvik, Sweden","ఆర్నస్కోల్డస్కోల్స్విక్, స్వీడన్",22,1
2517,Peter Harrold,పీటర్ హారోల్డ్,6/8/1983,2007,'06-'07,LA,12,0,2,2,0,8,11,,0,0,0,0,0,NONE,15:12,91:14,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,180,82,25.3,"Kirkland Hills, Ohio","కీరుక్లాండ్ హిల్ల్స్, ఓహ్యో",24,1
2518,Peter Holland,పీటర్ హోలాండ్,1/14/1991,2012,'11-'12,ANA,4,1,0,1,0,2,1,,100,0,0,0,1,NONE,7:42,30:49,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,88,24.9,"Toronto, Ontario","టోరంటో, ఓంటేరియో",21,1
2519,Peter Ing,పీటర్ ఇంగ్,4/28/1969,1990,'89-'90,TOR,3,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,60:37,NONE,NONE,3,0,2,1,NONE,18,5.94,107,89,0.832,0,Goaltender,188,75,21.2,"Toronto, Ontario","టోరంటో, ఓంటేరియో",21,1
2520,Peter LeBoutillier,పీటర్ లెబౌటిల్లియర్,1/11/1975,1997,'96-'97,ANA,23,1,0,1,0,121,5,,20,0,0,0,0,0,0:00,0:00,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,90,26.3,"Neepawa, Manitoba","నీపవ, మనితోబా",22,1
2521,Peter Mannino,పీటర్ మన్నినో,2/17/1984,2009,'08-'09,NYI,3,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,44:18,NONE,32,2,1,1,NONE,0,10,4.52,87,77,0.885,0,Goaltender,185,88,25.7,"Farmington Hills, Michigan","ఫార్మింగ్టన్ హిల్ల్స్, మిచిగన్",25,1
2522,Peter Mueller,పీటర్ మ్యూలెర్,4/14/1988,2008,'07-'08,PHX,81,22,32,54,-13,32,201,,10.9,15,0,0,3,NONE,17:16,25:53,93,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,93,26.3,"Bloomington, Minnesota","బ్లోమింగ్టన్, మిన్నెసోటా",20,1
2523,Peter Nordstrom,పీటర్ నొర్దస్ట్రాంట్రామ,7/26/1974,1999,'98-'99,BOS,2,0,0,0,-1,0,0,,0,0,0,0,0,0,0:00,0:00,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,91,26.6,Munkfors,మంక్ఫర్స్,25,1
2524,Peter Olvecky,పీటర్ ఆల్వెక్కీ,10/10/1985,2009,'08-'09,MIN,31,2,5,7,1,12,19,,10.5,2,0,0,1,NONE,8:55,39:31,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,88,24.9,"Nove Zamky, Czechoslovakia","నోవ్ జాకీ, కక్చోస్లోవేవియా",24,1
2525,Peter Popovic,పీటర్ పోపోవిక్,2/10/1968,1994,'93-'94,MTL,47,2,12,14,10,26,58,,3.4,5,0,0,0,0,0:00,0:00,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,198,110,28.1,Koping,కోపింగ్,26,1
2526,Peter Ratchuk,పీటర్ రాచుకు,9/10/1977,1999,'98-'99,FLA,24,1,1,2,-1,10,34,,2.9,0,0,0,0,0,0:00,0:00,35,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,84,24.5,"Buffalo, New York","బుఫ్ఫలో, న్యూ యార్క్",22,1
2527,Peter Regin,పీటర్ రీజిన్,4/16/1986,2009,'08-'09,OTT,11,1,1,2,0,2,7,,14.3,0,0,0,1,NONE,10:32,57:58,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,86,24.3,"Herning, Denmark","హెర్నింగ్, డెన్మార్క్",23,1
2528,Peter Sarno,పీటర్ సర్నో,7/26/1979,2004,'03-'04,EDM,6,1,0,1,2,2,5,,20,0,0,0,0,0,10:15,61:32,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,84,25.9,"Toronto, Ontario","టోరంటో, ఓంటేరియో",25,1
2529,Peter Schaefer,పీటర్ స్కేఫర్,7/12/1977,1999,'98-'99,VAN,25,4,4,8,-1,8,24,,16.7,1,0,0,1,0,0:00,0:00,18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,88,27.2,"Yellow Grass, Saskatchewan","యెల్లో గ్రాస్, శస్కత్చేవన్",22,1
2530,Peter Sejna,పీటర్ సేజ్నా,10/5/1979,2003,'02-'03,STL,1,1,0,1,0,0,3,,33.3,0,0,0,0,0,15:22,15:22,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,90,27.8,"Liptovsky Mikulas, Czechoslovakia","లిప్టావస్కీ మిక్యులస్, కక్చోస్లోవేవియా",24,1
2531,Peter Sidorkiewicz,పీటర్ సిడోర్కార్కీవిక్,6/29/1963,1988,'87-'88,HAR,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,60:00,NONE,31,1,0,1,0,NONE,6,6,36,30,0.833,0,Goaltender,175,75,24.5,Dabrowa Bialostocka,దాబ్రోవా బియాలోస్టాక్,25,1
2532,Peter Skudra,పీటర్ స్కుద్ర,4/24/1973,1998,'97-'98,PIT,17,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,50:05,NONE,1,12,6,4,3,NONE,26,1.83,341,315,0.924,0,Goaltender,185,86,25.1,Riga,రీగా,25,1
2533,Peter Smrek,పీటర్ స్మ్రెక్,2/16/1979,2001,'00-'01,NYR,14,0,3,3,1,12,9,,0,1,0,1,0,0,16:47,78:20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,98,28.6,Martin,మార్టిన్,22,1
2534,Peter Stastny,పీటర్ స్టాస్ట్నీ,9/18/1956,1981,'80-'81,QUE,77,39,70,109,11,37,232,,16.8,22,2,0,4,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,86,27.1,Bratislava,బ్రతిశ్లవ,25,1
2535,Peter Taglianetti,పీటర్ తగ్లిఅనెట్టి,8/15/1963,1985,'84-'85,WPG,1,0,0,0,0,0,2,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,88,24.9,"Framingham, Massachusetts","ఫ్రామింఘం, మస్సాచ్‌చ్షట్స్",22,1
2536,Peter Vandermeer,పీటర్ వండర్మీర్,10/14/1975,2008,'07-'08,PHX,2,0,0,0,0,0,0,,0,0,0,0,0,NONE,7:33,0:00,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,88,26.3,"Caroline, Alberta","కరోలిన్, ఆల్బర్టా",33,1
2537,Peter White,పీటర్ విట్ట్,3/15/1969,1994,'93-'94,EDM,26,3,5,8,1,2,17,,17.6,0,0,0,0,0,0:00,0:00,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,91,28.1,"Montreal, Quebec","మాంట్రీల్, క్వీబెక్",25,1
2538,Peter Worrell,పీటర్ వరర్ల్,8/18/1977,1998,'97-'98,FLA,19,0,0,0,-4,153,15,,0,0,0,0,0,0,0:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,201,113,28,"Pierrefonds, Quebec","పీర్రెఫోండ్స్, క్వీబెక్",21,1
2539,Peter Zezel,పీటర్ జజెల్,4/22/1965,1985,'84-'85,PHI,65,15,45,60,22,26,93,,16.1,16,0,0,2,1,0:00,0:00,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,100,30.9,"Toronto, Ontario","టోరంటో, ఓంటేరియో",20,1
2540,Petr Buzek,పెటర్ బ్యూజెక్,4/26/1977,1998,'97-'98,DAL,2,0,0,0,1,2,0,,0,0,0,0,0,0,0:00,0:00,8,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,95,27.8,Jihlava,జిహ్లవ,21,1
2541,Petr Cajanek,పెటర్ కాజనేక్,8/18/1975,2003,'02-'03,STL,51,9,29,38,16,20,90,,10,7,2,1,1,0,15:56,21:23,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,87,26.9,"Gottwaldov, Czechoslovakia","గొట్ట్యాట్వాల్డోవ్, కక్చోస్లోవేవియా",28,1
2542,Petr Hubacek,పెటర్ హబేక్,9/2/1979,2001,'00-'01,PHI,6,1,0,1,-1,2,5,,20,0,0,0,0,0,11:20,68:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,83,23.5,Brno,బర్నో,22,1
2543,Petr Kalus,పెటర్ కాలస్,6/29/1987,2007,'06-'07,BOS,9,4,1,5,0,6,8,,50,0,0,0,0,NONE,11:16,20:17,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,91,26.6,"Ostrava, Czechoslovakia","ఓస్త్రవ, కక్చోస్లోవేవియా",20,1
2544,Petr Kanko,పెటర్ కాంకో,2/7/1984,2006,'05-'06,LA,10,1,0,1,1,0,7,,14.3,0,0,0,0,NONE,4:42,46:55,48,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,178,91,28.7,"Pribham, Czechoslovakia","ప్రిభం, కక్చోస్లోవేవియా",22,1
2545,Petr Klima,పెటర్ క్లీమా,12/23/1964,1986,'85-'86,DET,74,32,24,56,-39,16,174,,18.4,11,0,0,4,0,0:00,0:00,85,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,86,25.7,Chomutov,చోముతోవు,22,1
2546,Petr Mika,పెటర్ మీక,2/12/1979,2000,'99-'00,NYI,3,0,0,0,-1,0,1,,0,0,0,0,0,0,4:30,0:00,32,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,193,88,23.6,Prague,ప్రాగే,21,1
2547,Petr Mrazek,పెటర్ మ్రేజిక్,2/14/1992,2013,'12-'13,DET,2,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,59:35,NONE,34,2,1,1,NONE,0,4,2.01,51,47,0.922,0,Goaltender,188,83,23.5,"Ostrava, Czechoslovakia","ఓస్త్రవ, కక్చోస్లోవేవియా",21,1
2548,Petr Nedved,పెటర్ నెద్వెడ్,12/8/1971,1991,'90-'91,VAN,61,10,6,16,-21,20,97,,10.3,2,0,0,0,0,0:00,0:00,93,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,190,89,24.6,"Liberec, Czechoslovakia","లైబర్క్, కక్చోస్లోవేవియా",20,1
2549,Petr Prucha,పెటర్ ప్రుచ,9/14/1982,2006,'05-'06,NYR,68,30,17,47,3,32,130,,23.1,6,0,0,2,NONE,13:42,19:49,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,79,23.6,"Chrudim, Czechoslovakia","చ్రుడిం, కక్చోస్లోవేవియా",24,1
2550,Petr Schastlivy,పెటర్ శ్చాస్ట్లివ్య్,4/18/1979,2000,'99-'00,OTT,13,2,5,7,4,2,22,,9.1,1,0,0,1,0,12:18,22:50,27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,94,27.5,Angarsk,అంగర్స్క్,21,1
2551,Petr Svoboda,పెటర్ స్వోబోడా,2/14/1966,1985,'84-'85,MTL,73,4,27,31,16,65,81,,4.9,7,0,0,1,0,0:00,0:00,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,90,25.5,Most,మాస్ట్,19,1
2552,Petr Sykora,పెటర్ సైకోరా,11/19/1976,1996,'95-'96,NJ,63,18,24,42,7,32,128,,14.1,11,0,0,3,0,0:00,0:00,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,86,25.7,"Plzen, Czechoslovakia","ప్ల్జెన్, కక్చోస్లోవేవియా",20,1
2553,Petr Taticek,పెటర్ తటిసెక్,9/22/1983,2006,'05-'06,FLA,3,0,0,0,0,0,3,,0,0,0,0,0,NONE,5:51,0:00,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,190,94,26,Rakovnik,రాకావిక్,23,1
2554,Petr Tenkrat,పెటర్ టెంక్ర్యాట్,5/30/1977,2001,'00-'01,ANA,46,5,9,14,-11,16,79,,6.3,5,0,0,2,1,12:48,42:05,62,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Forward,180,91,28.1,"Kladno, Czechoslovakia","క్లాడ్నో, కక్చోస్లోవేవియా",24,1
2555,Petr Vrana,పెటర్ వ్రణ,3/29/1985,2009,'08-'09,NJ,16,1,0,1,-4,2,6,,16.7,0,0,0,0,NONE,6:54,110:23,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,178,79,24.9,"Sternberk, Czechoslovakia","స్టర్న్‌బర్క్, కక్చోస్లోవేవియా",24,1
2556,Petri Kontiola,పెట్రి కొంషియోలా,10/3/1984,2008,'07-'08,CHI,12,0,5,5,5,6,13,,0,0,0,0,0,NONE,14:33,34:55,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,93,27.8,"Seinajoki, Finland","సీనజోకి, ఫైన్లాండ్",24,1
2557,Petri Varis,పెట్రి వారిస్,5/13/1969,1998,'97-'98,CHI,1,0,0,0,0,0,0,,0,0,0,0,0,0,0:00,0:00,17,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,91,26.6,Varkaus,వర్కస్,29,1
2558,Petteri Nokelainen,పెట్టరీ నోకెలైన్,1/16/1986,2006,'05-'06,NYI,15,1,1,2,-1,4,13,,7.7,0,0,0,1,NONE,7:43,57:52,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,91,26.6,"Imatra, Finland","ఇమాత్ర, ఫైన్లాండ్",20,1
2559,Petteri Nummelin,పెట్టరీ నమ్మెలిన్,11/25/1972,2001,'00-'01,CBJ,61,4,12,16,-11,10,99,,4,8,0,0,0,0,17:14,65:42,33,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,178,87,27.5,"Turku, Finland","తూరుకు, ఫైన్లాండ్",29,1
2560,Petteri Wirtanen,పెట్టరీ విర్టానెన్,5/28/1986,2008,'07-'08,ANA,3,1,0,1,1,2,1,,100,0,0,0,1,NONE,4:11,12:33,56,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,92,26.9,"Hyvinkaa, Finland","హైవింకా, ఫైన్లాండ్",22,1
2561,Phil Bourque,ఫిల్ బోర్క్యూయర్క్,6/8/1962,1984,'83-'84,PIT,5,0,1,1,-2,12,6,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,89,26,"Chelmsford, Massachusetts","చెల్మ్‌ఫ్ఫోర్డ్, మస్సాచ్‌చ్షట్స్",22,1
2562,Phil Crowe,ఫిల్ క్రొయ్,4/4/1970,1994,'93-'94,LA,31,0,2,2,4,77,5,,0,0,0,0,0,0,0:00,0:00,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,100,28.3,"Nanton, Alberta","నంతన్, ఆల్బర్టా",24,1
2563,Phil Housley,ఫిల్ హౌస్లీ,3/9/1964,1983,'82-'83,BUF,77,19,47,66,-4,39,183,,10.4,23,0,0,2,2,0:00,0:00,96,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,178,84,26.5,"St. Paul, Minnesota","స్ట్. పాల్, మిన్నెసోటా",19,1
2564,Phil Kessel,ఫిల్ కెస్సెల్,10/2/1987,2007,'06-'07,BOS,70,11,18,29,-12,12,170,,6.5,4,0,0,0,NONE,14:04,33:57,81,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,92,27.5,"Madison, Wisconsin","మడిసన్, విస్కాన్సిన్",20,1
2565,Phil Oreskovic,ఫిల్ ఆరెస్కోవిక్,1/26/1987,2009,'08-'09,TOR,10,1,1,2,-2,21,12,,8.3,0,0,0,0,NONE,16:14,81:09,72,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,98,27.1,"North York, Ontario","నోర్త్ యార్క్, ఓంటేరియో",22,1
